	id	reference	frame	x	y	w	h
160	id00270	pteYwhNHUkM	1531.0	0.271	0.198	0.31	0.551
161	id00271	jm0iJXTRyCI	6253.0	0.303	0.128	0.351	0.625
162	id00272	ikooNkJ6kWA	9365.0	0.372	0.164	0.318	0.565
163	id00274	a1g0ytNLHvI	686.0	0.252	0.188	0.384	0.683
164	id00275	7x4XTIXPRSY	2255.0	0.184	0.191	0.157	0.279
165	id00276	WX9Ws3D2Osc	7612.0	0.377	0.233	0.204	0.372
166	id00277	oQP6pmZXgMs	5334.0	0.548	0.238	0.159	0.212
167	id00279	izQbPyyHjas	5213.0	0.064	0.266	0.31	0.388
168	id00281	FrmP5gf4zQc	1514.0	0.116	0.08	0.707	1.257
169	id00282	FaCbHpa0QoY	4520.0	0.529	0.208	0.237	0.422
170	id00283	k0x6VLqAhY0	953.0	0.35	0.143	0.329	0.585
171	id00285	XhFzY57hhSw	973.0	0.164	0.148	0.26	0.462
172	id00286	dTSGNUbWLsk	6057.0	0.474	0.212	0.462	0.821
173	id00287	NzS496B4qNE	2049.0	0.407	0.156	0.463	0.822
174	id00288	U_OYUWtGf1Y	9836.0	0.587	0.221	0.182	0.321
175	id00289	XcOJC1wH-TU	462.0	0.394	0.173	0.268	0.486
176	id00290	Kmn81hwgWo4	1728.0	0.308	0.237	0.266	0.473
177	id00291	aDTmvrtx_gs	8558.0	0.301	0.1	0.283	0.504
178	id00292	P1ZsBfeVtA4	3338.0	0.338	0.152	0.449	0.799
179	id00296	WOUs770WCgw	1751.0	0.403	0.174	0.335	0.596
180	id00297	PsOnuG1EBjQ	4701.0	0.351	0.199	0.145	0.258
181	id00298	6aBuSUn_mFs	1832.0	0.405	0.317	0.321	0.401
182	id00299	wxuLurgzvR8	2205.0	0.559	0.31	0.14	0.248
183	id00300	3DOi9hczpa4	2946.0	0.385	0.319	0.575	0.923
184	id00301	gpWiBJvqZAI	80.0	0.376	0.161	0.303	0.54
185	id00302	G_81AEbYI7U	5863.0	0.317	0.234	0.435	0.773
186	id00303	bm6Md72lHBw	6775.0	0.434	0.138	0.162	0.288
187	id00304	0DB9o4H_bH4	2858.0	0.423	0.323	0.272	0.363
188	id00305	JY8X-xHaWTE	3867.0	0.609	0.193	0.232	0.412
189	id00306	4SNpsNbaFsw	52260.0	0.301	0.254	0.464	0.619
190	id00309	s71FOn4Wxd8	469.0	0.327	0.156	0.279	0.496
191	id00311	RTxqg8g_jXM	6161.0	0.249	0.198	0.633	0.836
192	id00312	uOx23IHlcMQ	11792.0	0.281	0.157	0.224	0.404
193	id00313	BfdlN64SvCU	2114.0	0.206	0.165	0.351	0.623
194	id00314	6RL-tB6F0x8	10654.0	0.394	0.202	0.321	0.428
195	id00316	T7kodlAL0c0	2772.0	0.264	0.177	0.237	0.422
196	id00317	qKJtdwNRPXQ	9653.0	0.196	0.262	0.28	0.498
197	id00318	jfkSUVASQlk	7576.0	0.343	0.183	0.476	0.847
198	id00319	I5w0DibQ3UU	1791.0	0.156	0.219	0.493	0.877
199	id00320	Omy6QZ_guBo	356.0	0.281	0.382	0.231	0.41
200	id00322	jO5SuRUB54A	9907.0	0.403	0.194	0.142	0.253
201	id00323	9XBQMmU0EXU	4930.0	0.296	0.057	0.565	1.004
202	id00324	vfeooXprodI	418.0	0.039	0.073	0.744	0.991
203	id00325	oO-ZpcIl5tY	1621.0	0.277	0.301	0.324	0.577
204	id00328	SutdcNSnXQA	449.0	0.321	0.107	0.374	0.664
205	id00329	X-SKM2Zd3XI	2459.0	0.294	0.447	0.263	0.351
206	id00330	2B_HQrStrQ8	3250.0	0.47	0.268	0.499	0.665
207	id00331	xoGPPx8lFk8	19665.0	0.404	0.171	0.154	0.272
208	id00332	lz6iHGCkw-o	1052.0	0.347	0.161	0.249	0.442
209	id00336	tuwrmvEpcVU	1505.0	0.136	0.216	0.235	0.321
210	id00341	7Enc33sIqdc	801.0	0.32	0.162	0.224	0.399
211	id00342	9Uypg4AJ8IQ	1564.0	0.663	0.201	0.373	0.663
212	id00343	E8gvqVM3fh0	10249.0	0.346	0.131	0.475	0.864
213	id00344	NIyJruc-4fQ	2042.0	0.257	0.144	0.34	0.604
214	id00345	7iy0FIHXnto	6316.0	0.415	0.141	0.327	0.581
215	id00346	D7-ARlZkE_Q	1203.0	0.21	0.18	0.154	0.274
216	id00347	A0Hsr70fXjk	14038.0	0.137	0.096	0.321	0.57
217	id00348	ejHO9OYkbZY	4766.0	0.414	0.176	0.313	0.557
218	id00350	q_eE-nCkYwI	7493.0	0.237	0.273	0.142	0.253
219	id00351	oAcz1YI96Eo	2739.0	0.299	0.139	0.607	0.81
220	id00352	SCoq5Ru5fLU	123.0	0.26	0.278	0.27	0.48
221	id00353	53pcUmoPoZY	5173.0	0.277	0.161	0.276	0.491
222	id00354	zpgLb3lcVB0	472.0	0.149	0.233	0.211	0.375
223	id00355	pYuSUB2cGKM	763.0	0.35	0.303	0.211	0.375
224	id00356	03lfOPCOpMM	401.0	0.315	0.144	0.194	0.344
225	id00357	Pk2xNrGL1MM	1276.0	0.285	0.145	0.499	0.885
226	id00358	Tsdh4shjLVM	1801.0	0.265	0.124	0.435	0.774
227	id00359	j4GGCT994Ns	215.0	0.303	0.195	0.349	0.621
228	id00361	zeh4em-gpdU	2215.0	0.255	0.217	0.341	0.454
229	id00363	5G6IuUZgil8	4319.0	0.342	0.211	0.144	0.257
230	id00365	MGaP6_dmCGg	1553.0	0.248	0.195	0.186	0.331
231	id00366	bAW3YpPulK4	6015.0	0.407	0.14	0.297	0.528
232	id00368	HM-2VXZ888w	3835.0	0.206	0.07	0.344	0.612
233	id00371	_NF9fX0n-L4	2652.0	0.263	0.182	0.359	0.638
234	id00372	OrnKDyoUU7Q	6267.0	0.562	0.187	0.222	0.395
235	id00373	CBkLM5aemTI	1865.0	0.343	0.173	0.381	0.507
236	id00374	4ja-r8g4wnM	981.0	0.386	0.174	0.289	0.525
237	id00376	BGXPGwOxcmc	4827.0	0.46	0.185	0.31	0.552
238	id00377	0YOl12cvV8g	15581.0	0.391	0.195	0.186	0.331
239	id00378	ESFgZ71EJTc	1816.0	0.329	0.197	0.258	0.459
240	id00379	fgkgYHCuk4g	3320.0	0.302	0.148	0.208	0.369
241	id00380	eL_Mu6EtYFo	3429.0	0.662	0.176	0.145	0.258
242	id00381	PbsLf0XA-i0	1713.0	0.41	0.145	0.291	0.528
243	id00383	Z3w4wgSXxmM	5234.0	0.352	0.213	0.38	0.506
244	id00385	6n0Pb-nZYzk	2246.0	0.286	0.112	0.146	0.259
245	id00386	D4ADnhrz-eY	3776.0	0.407	0.13	0.277	0.493
246	id00387	jzzTXDg_WZk	8436.0	0.43	0.278	0.322	0.574
247	id00388	mqFJPt3ufok	587.0	0.4	0.091	0.152	0.27
248	id00389	mPsSsRtEVO0	1484.0	0.426	0.168	0.351	0.623
249	id00390	NuSxkN7ByWI	5128.0	0.35	0.191	0.565	1.005
250	id00391	2daHaPvDHlg	376.0	0.29	0.272	0.293	0.522
251	id00393	ct3R1TwOeec	2667.0	0.414	0.187	0.179	0.319
252	id00395	xm8iA2dDf6U	532.0	0.46	0.16	0.229	0.407
253	id00397	xNgsGANUA5Q	100.0	0.16	0.099	0.609	1.083
254	id00398	m7QY23gxTmM	7486.0	0.437	0.164	0.309	0.549
255	id00399	pcXHC7Nj15A	487.0	0.392	0.103	0.31	0.552
256	id00401	eTn2TLrQS10	3863.0	0.217	0.29	0.508	0.622
257	id00402	U2QbsVIe5wY	6487.0	0.257	0.155	0.387	0.516
258	id00403	HEGs9Kcba14	951.0	0.039	0.066	0.332	0.59
259	id00405	rKaPnmrLHtY	395.0	0.341	0.211	0.415	0.622
260	id00406	dPzCWmajqJs	232.0	0.318	0.284	0.46	0.817
261	id00407	L8kGu9NXPzc	320.0	0.374	0.237	0.395	0.527
262	id00409	MOJ8_MvKaHA	2740.0	0.386	0.209	0.307	0.546
263	id00411	HXljahvDxZc	8064.0	0.285	0.155	0.445	0.594
264	id00412	OqMD-Wg3C5U	387.0	0.419	0.211	0.126	0.225
265	id00413	XVQXwsDIyTw	18284.0	0.13	0.149	0.118	0.216
266	id00414	xzHAbf47lQI	17643.0	0.178	0.146	0.364	0.647
267	id00415	RLByi6z99LE	2319.0	0.512	0.195	0.288	0.512
268	id00416	YWcw9aXa6gM	219.0	0.305	0.249	0.364	0.456
269	id00417	_WTIf5_EgYQ	4661.0	0.405	0.119	0.248	0.31
270	id00418	TNyoWAceAsE	4604.0	0.408	0.261	0.261	0.391
271	id00419	oNSUdhMFsXE	3146.0	0.431	0.186	0.322	0.572
272	id00420	GxHpgtPTY-c	4788.0	0.379	0.157	0.236	0.42
273	id00421	c6TNKiqFSM4	178.0	0.349	0.192	0.295	0.537
274	id00422	27F7weLQi5w	3502.0	0.55	0.304	0.197	0.349
275	id00423	Ta7EaU0tldQ	1516.0	0.631	0.22	0.331	0.442
276	id00425	YzVAlZ6rwNU	2642.0	0.407	0.31	0.186	0.33
277	id00426	O2SL9oD4MQk	10876.0	0.585	0.16	0.19	0.338
278	id00427	cXr_G9_4GLs	1000.0	0.299	0.208	0.256	0.456
279	id00428	yid9IhoFqfM	434.0	0.362	0.19	0.284	0.505
280	id00429	L-8MoOQdP3g	688.0	0.282	0.227	0.186	0.331
281	id00430	QmipNLdztJQ	5050.0	0.138	0.163	0.628	0.837
282	id00431	JFtTkK3SeAs	561.0	0.161	0.169	0.525	0.933
283	id00432	XXLid_aXL-Y	302.0	0.416	0.166	0.435	0.773
284	id00434	Ag9Jndq-5CY	2325.0	0.206	0.154	0.585	0.78
285	id00435	wUd1z5mE3Sk	5872.0	0.227	0.256	0.498	0.664
286	id00436	fZGs87JoZ3k	5409.0	0.388	0.137	0.217	0.386
287	id00437	Wlo1kbSOzMQ	2783.0	0.081	0.242	0.319	0.567
288	id00438	eIyRzsgGC6Q	2634.0	0.529	0.104	0.373	0.663
289	id00444	VL02DMtBJZs	5083.0	0.357	0.237	0.343	0.61
290	id00445	KOW5lnEgbEo	128.0	0.365	0.159	0.252	0.448
291	id00448	7_mtCekzWXU	8150.0	0.313	0.16	0.411	0.732
292	id00449	N8zamt2Id2A	2920.0	0.354	0.172	0.18	0.32
293	id00450	FWF2tEhNpes	2492.0	0.277	0.205	0.518	0.777
294	id00456	cdsI4JeFpbw	6399.0	0.342	0.182	0.461	0.82
295	id00457	1Ae-NjYlh_4	318.0	0.261	0.19	0.252	0.448
296	id00458	7m9zCVTU1TQ	5306.0	0.124	0.172	0.249	0.442
297	id00459	vq0iuofOE-E	3761.0	0.111	0.218	0.221	0.295
298	id00460	KCBOXmDu5Ks	6519.0	0.437	0.164	0.258	0.388
299	id00461	SF2a4IPqd4o	3425.0	0.38	0.186	0.311	0.553
300	id00462	5WawcUvTfyc	2564.0	0.594	0.138	0.167	0.296
301	id00463	g7tGUluPJHo	4633.0	0.408	0.179	0.217	0.385
302	id00464	5tLiHj3qCB4	832.0	0.349	0.291	0.375	0.5
303	id00465	4byhTR8KvI0	1795.0	0.43	0.117	0.214	0.374
304	id00467	Ub1MFAgSHak	2487.0	0.391	0.243	0.348	0.619
305	id00468	NyVsUi-W26w	12491.0	0.292	0.384	0.208	0.37
306	id00469	uXtoSxVkhdI	1089.0	0.172	0.223	0.269	0.479
307	id00472	94a7GDPN5Nc	5440.0	0.237	0.155	0.39	0.516
308	id00473	AwP7TxE2SJs	5977.0	0.289	0.22	0.328	0.584
309	id00475	6tURcp88PHM	2282.0	0.217	0.343	0.197	0.349
310	id00476	Qnz3OVRxCsI	1696.0	0.141	0.185	0.384	0.577
311	id00478	UYikaOnDWOs	5504.0	0.285	0.083	0.429	0.763
312	id00479	Sa4FqBHRI0o	3522.0	0.337	0.266	0.233	0.414
313	id00481	SmHWM9wnPhI	7901.0	0.347	0.32	0.419	0.558
314	id00482	X-CYUuLkhyI	533.0	0.405	0.195	0.208	0.369
315	id00483	56vt8dpZYjI	31538.0	0.317	0.196	0.419	0.558
316	id00484	KEYLcR6GpUY	3200.0	0.272	0.182	0.356	0.635
317	id00486	xfRQQOakkX0	908.0	0.417	0.103	0.196	0.348
318	id00488	zxygGz6kEhY	3182.0	0.378	0.161	0.287	0.383
319	id00489	V9dxSJn6jOI	2294.0	0.422	0.163	0.338	0.601
320	id00490	QzQ2m5WKMYY	229.0	0.382	0.325	0.246	0.328
321	id00491	LlkfdJZxf4A	81.0	0.323	0.176	0.268	0.477
322	id00492	lQSBdbitpcY	8811.0	0.319	0.171	0.267	0.475
323	id00494	pzM2U9jsue8	1088.0	0.44	0.265	0.32	0.427
324	id00495	eo_9ZcbqoFM	2517.0	0.583	0.142	0.202	0.359
325	id00496	SImaDcXQnh8	7862.0	0.273	0.11	0.26	0.462
326	id00498	V4NFFyT63uk	4271.0	0.35	0.23	0.35	0.623
327	id00500	tbDafBstIF4	20199.0	0.311	0.103	0.442	0.786
328	id00501	Rm7aOCcCwn4	10371.0	0.585	0.165	0.243	0.323
329	id00502	0cGdDWYlyZ8	873.0	0.386	0.236	0.217	0.386
330	id00503	Y_JhEQ5apSs	1106.0	0.332	0.124	0.51	0.906
331	id00504	HXpe9Nyqjxc	1205.0	0.394	0.156	0.378	0.672
332	id00505	tH784bQ7z6U	14.0	0.473	0.26	0.274	0.486
333	id00506	tvrlZbE32As	545.0	0.134	0.21	0.26	0.462
334	id00507	ilO8kPLw5ZA	5434.0	0.446	0.127	0.418	0.743
335	id00508	wdZOA2pElCQ	1044.0	0.376	0.218	0.305	0.542
336	id00509	2oFYRhM-1uA	3046.0	0.348	0.207	0.644	0.858
337	id00510	JJnLvXHlMZI	2109.0	0.332	0.205	0.179	0.319
338	id00512	0ZwYAjvGaS8	32352.0	0.402	0.118	0.283	0.378
339	id00513	zl3kz1x5Z_0	3723.0	0.316	0.28	0.399	0.709
340	id00514	PwyvSbW84pw	2459.0	0.388	0.176	0.287	0.511
341	id00515	oSiM7XHgsNY	7152.0	0.205	0.451	0.255	0.453
342	id00516	AK8xp4ya9co	2171.0	0.166	0.089	0.31	0.552
343	id00517	nfdGjNElZjg	2072.0	0.302	0.254	0.489	0.652
344	id00518	9nPPpwBeR3M	577.0	0.372	0.223	0.214	0.38
345	id00519	5nyAUNT3R8M	3809.0	0.252	0.232	0.392	0.698
346	id00520	XuHKG_-bNic	6262.0	0.354	0.244	0.419	0.744
347	id00521	n5SMLYhDaW0	4226.0	0.525	0.392	0.22	0.294
348	id00522	D-NYhBrwfo0	359.0	0.221	0.264	0.412	0.732
349	id00524	b_gtgUMA_VI	632.0	0.327	0.233	0.417	0.741
350	id00525	uU2jMDJkrLk	2332.0	0.104	0.151	0.441	0.588
351	id00526	1JnSw61aeB8	2747.0	0.054	0.247	0.506	0.674
352	id00527	xx5gbZGyhqk	624.0	0.286	0.197	0.336	0.598
353	id00528	M7sU759f-64	1248.0	0.141	0.202	0.519	0.925
354	id00529	Agq_KiVD_aA	520.0	0.647	0.103	0.139	0.247
355	id00530	4NwUA6NmkEI	2948.0	0.103	0.079	0.151	0.268
356	id00531	OmYZ1anVfU8	776.0	0.22	0.268	0.429	0.763
357	id00534	954qBX9a7A8	5172.0	0.461	0.151	0.347	0.617
358	id00535	hr5UXfy4C8o	6240.0	0.305	0.119	0.43	0.765
359	id00539	pUtdr4M5NFc	3015.0	0.454	0.222	0.468	0.832
360	id00542	qWYGYhxF9bk	1081.0	0.331	0.172	0.298	0.53
361	id00543	WCbck5Fui_4	5927.0	0.159	0.098	0.519	0.917
